Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
8,World of Warcraft,1,2020,27563181,940687 hours,167799,4077,59799,37097,1266,29.3
8,World of Warcraft,2,2020,31740780,1009217 hours,293197,4240,61087,45670,1452,31.45
13,World of Warcraft,3,2020,20337340,1096231 hours,73509,4060,65578,27371,1475,18.55
10,World of Warcraft,4,2020,33013013,1326196 hours,150840,4515,68562,45915,1844,24.89
11,World of Warcraft,5,2020,36702327,1398699 hours,123076,4731,69030,49397,1882,26.24
11,World of Warcraft,6,2020,32400568,1119802 hours,137907,4178,59924,45063,1557,28.93
10,World of Warcraft,7,2020,35243547,1199477 hours,247146,3821,64159,47434,1614,29.38
12,World of Warcraft,8,2020,30251347,1227978 hours,125034,4059,66062,40715,1652,24.64
12,World of Warcraft,9,2020,28332755,1077759 hours,114189,3889,62389,39405,1498,26.29
13,World of Warcraft,10,2020,33429794,1121230 hours,210166,3721,67486,44992,1509,29.82
7,World of Warcraft,11,2020,54668977,1708742 hours,933430,25791,93850,76034,2376,31.99
4,World of Warcraft,12,2020,90202480,2343848 hours,411898,11273,108723,121403,3154,38.48
